timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600074182336,2003,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-24,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,2003
1600074184339,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-32,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074184339,1,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-24,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074184339,1,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-164,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181705,2636,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-260,text,false,,3810,123,1000,1000,https://www.firstbench.app/,798,0,418
1600074181705,798,Landing page-0,301,Moved Permanently,JMeter Users 1-260,text,true,,428,123,1000,1000,http://www.firstbench.app/,798,0,418
1600074182504,1837,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-260,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1837
1600074184342,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-260,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181591,2754,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-150,text,false,,3810,123,1000,1000,https://www.firstbench.app/,957,0,575
1600074181591,957,Landing page-0,301,Moved Permanently,JMeter Users 1-150,text,true,,428,123,1000,1000,http://www.firstbench.app/,957,0,575
1600074182549,1796,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-150,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1796
1600074184381,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-150,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181787,2582,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-318,text,false,,3810,123,1000,1000,https://www.firstbench.app/,759,0,381
1600074181787,759,Landing page-0,301,Moved Permanently,JMeter Users 1-318,text,true,,428,123,1000,1000,http://www.firstbench.app/,759,0,381
1600074182547,1822,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-318,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1822
1600074184388,1,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-318,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181702,2577,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-269,text,false,,3810,123,1000,1000,https://www.firstbench.app/,765,0,390
1600074181702,765,Landing page-0,301,Moved Permanently,JMeter Users 1-269,text,true,,428,123,1000,1000,http://www.firstbench.app/,765,0,390
1600074182468,1811,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-269,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1810
1600074184392,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-269,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181613,2809,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-193,text,false,,3810,123,1000,1000,https://www.firstbench.app/,741,0,422
1600074181613,741,Landing page-0,301,Moved Permanently,JMeter Users 1-193,text,true,,428,123,1000,1000,http://www.firstbench.app/,741,0,422
1600074182354,2068,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-193,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,2068
1600074184423,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-193,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181641,2791,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-222,text,false,,3810,123,1000,1000,https://www.firstbench.app/,756,0,420
1600074181641,756,Landing page-0,301,Moved Permanently,JMeter Users 1-222,text,true,,428,123,1000,1000,http://www.firstbench.app/,756,0,420
1600074182397,2035,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-222,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,2035
1600074184433,1,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-222,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
